,code,lat,lon,name,city,state,country,woeid,tz,phone,type,email,url,runway_length,elev,icao,direct_flights,carriers
45,ADJ,31.973,35.9822,Al Matar Airport,Amman,'Amman,Jordan,23388321,Asia/Amman,0,Airports,BLANK,BLANK,,,OJAM,2,2
46,ADK,51.88,-176.639,Adak Airport,Adak,Alaska,United States,12518524,America/Adak,0,Airports,BLANK,BLANK,7794.0,19.0,PADK,1,1
47,ADL,-34.9464,138.529,Adelaide International Airport,Adelaide,South Australia,Australia,1107231,Australia/Adelaide,0,Airports,BLANK,http://www.aal.com.au,10171.0,20.0,YPAD,24,20
48,ADQ,57.7545,-152.512,Kodiak Airport,Kodiak,Alaska,United States,12520492,America/Anchorage,0,Airports,BLANK,BLANK,7548.0,73.0,PADQ,12,7
49,ADU,38.2465,48.2951,Ardabil Airport,Ardabil,Ardabil,Iran,2254335,Asia/Tehran,0,Airports,BLANK,BLANK,,,OITL,1,2
50,ADX,56.377,-2.86117,Leuchars Airport,St. Andrews,Scotland,United Kingdom,12518118,Europe/London,0,Airports,BLANK,BLANK,8707.0,38.0,EGQL,2,1
51,ADZ,12.5811,-81.7092,Sesquicentenario Airport,San Andrés,San Andres y Providencia,Colombia,12512417,America/Bogota,0,Airports,BLANK,BLANK,7808.0,19.0,SKSP,7,3
52,AEH,13.8486,20.8472,Abeche Airport,Abéché,Ouaddai,Chad,12511930,Africa/Ndjamena,0,Airports,BLANK,BLANK,5905.0,1788.0,FTTC,1,1
53,AEP,-34.5617,-58.4113,Aeroparque Jorge Newbery,Buenos Aires,Ciudad de Buenos Aires,Argentina,23388199,America/Buenos_Aires,(54 11) 5480 6111,Airports,BLANK,http://www.aa2000.com.ar,6890.0,20.0,SABE,31,4
54,AER,43.447,39.9552,Adler Airport,Sochi,Krasnodarskiy Kray,Russia,12515677,Europe/Moscow,0,Airports,BLANK,BLANK,,,URSS,45,31
55,AES,62.5607,6.11129,Vigra Airport,Vigra,More og Romsdal,Norway,12515129,Europe/Oslo,+47 70 11 48 00,Airports,BLANK,BLANK,5249.0,71.0,ENAL,6,2
56,AET,66.55,-152.65,Allakaket Airport,Allakaket,Alaska,United States,12524551,America/Anchorage,0,Airports,BLANK,BLANK,3000.0,350.0,BLANK,4,4
57,AEX,31.323,-92.5417,Alexandria International Airport,Alexandria,Louisiana,United States,12519648,America/Chicago,0,Airports,BLANK,BLANK,,,KAEX,5,7
58,AEY,65.6561,-18.0923,Akureyri Airport,Akureyri,Akureyri,Iceland,12513442,Atlantic/Reykjavik,0,Airports,BLANK,BLANK,6365.0,6.0,BIAR,4,1
59,AFA,-34.5886,-68.4028,San Rafael Airport,San Rafael,Mendoza,Argentina,12510556,America/Buenos_Aires,0,Airports,BLANK,BLANK,7513.0,2444.0,SAMR,2,1
60,AFL,-9.8661,-56.1044,Alta Floresta Airport,Alta Floresta,Mato Grosso,Brazil,12511017,America/Campo_Grande,0,Airports,BLANK,BLANK,5249.0,288.0,SBAT,2,2
61,AFS,41.6136,64.2331,Zarafshan Airport,Zarafshan,Nawoiy,Uzbekistan,2272667,Asia/Samarkand,0,Airports,BLANK,BLANK,,,BLANK,1,1
62,AFT,-9.18333,160.95,Afutara Aerodrome,Afutara,Malaita,Solomon Islands,1020505,Pacific/Guadalcanal,0,Airports,BLANK,BLANK,,,BLANK,1,1
63,AFZ,36.1903,57.7094,Sabzevar Airport,Sabzevar,Khorasan,Iran,12513753,Asia/Tehran,0,Airports,BLANK,BLANK,10428.0,3010.0,BLANK,1,1
64,AGA,30.3833,-9.55,Almassira Airport,Agadir,Agadir,Morocco,12523043,Africa/Casablanca,0,Airports,BLANK,BLANK,9547.0,88.0,GMAD,15,16
65,AGF,44.1736,0.59223,La Garenne Airport,Laplume,Aquitaine,France,12512903,Europe/Paris,0,Airports,BLANK,BLANK,7103.0,203.0,LFBA,1,1
66,AGH,56.2873,12.8675,Angelholm Airport,Angelholm,Skane,Sweden,23319131,Europe/Stockholm,0,Airports,BLANK,http://www.lfv.se/templates/LFV_AirportStartPage____4777.aspx,6562.0,65.0,ESTA,4,3
67,AGL,-9.33333,149.15,Wanigela,Wanigela,Northern,Papua New Guinea,1061994,Pacific/Port_Moresby,0,Airports,BLANK,BLANK,3280.0,50.0,BLANK,1,1
68,AGM,65.6667,-37.6667,Angmagssalik Airport,Angmassalik,Ostgronland,Greenland,12523853,America/Godthab,0,Airports,BLANK,BLANK,,,BGAM,1,1
69,AGN,57.4996,-134.577,Angoon Airport,Angoon,Alaska,United States,12524552,America/Anchorage,0,Airports,BLANK,BLANK,,1.0,PAGN,1,1
70,AGP,36.6749,-4.49298,Malaga Airport,Malaga,Andalucia,Spain,23232917,Europe/Madrid,+34 952 048 838,Airports,BLANK,http://www.aena.es/csee/Satellite?cid=1048858947193&pagename=Est,10500.0,52.0,LEMG,106,59
71,AGR,27.1632,77.9788,Agra Airport,Agra,Uttar Pradesh,India,12513528,Asia/Kolkata,0,Airports,BLANK,BLANK,9000.0,551.0,VIAG,2,1
72,AGS,33.3735,-81.9732,Bush Field Airport,Augusta,Georgia,United States,12518987,America/New_York,0,Airports,BLANK,BLANK,8001.0,145.0,KAGS,2,8
73,AGT,-25.5266,-54.6226,Alejo Garcia Airport,Presidente Franco,Alto Paraná,Paraguay,12523540,America/Asuncion,0,Airports,BLANK,BLANK,,,SGES,3,4
